"date","0–34","35–39","40–44","45–49","50–54","55–59","60–64","65–69","70–74","75–79","80–84","85–89","90+"
01/04/2015,41,17,21,48,106,157,270,258,301,388,502,423,268
01/11/2015,36,9,43,56,93,202,291,295,329,402,498,407,344
01/18/2015,34,17,21,52,100,175,262,257,348,415,458,448,313
01/25/2015,40,22,23,55,98,181,281,296,335,402,507,460,305
02/01/2015,32,18,37,46,85,183,266,284,341,428,498,505,344
02/08/2015,36,13,30,70,112,179,267,347,393,456,549,520,378
02/15/2015,24,25,33,55,92,176,267,326,354,426,609,536,357
02/22/2015,43,18,32,44,84,199,268,301,395,459,542,572,392
03/01/2015,29,19,31,52,96,169,264,243,375,421,536,525,360
03/08/2015,34,16,29,61,101,176,223,290,311,412,512,478,319
03/15/2015,32,19,22,61,98,157,251,270,326,359,463,454,265
03/22/2015,27,21,29,47,108,172,235,267,328,390,450,393,297
03/29/2015,29,18,22,46,96,169,256,254,319,367,464,392,258
04/05/2015,30,22,31,46,75,171,240,260,300,369,440,380,275
04/12/2015,31,16,25,52,75,172,268,248,286,345,455,343,296
04/19/2015,26,24,33,46,75,137,259,250,301,371,438,393,259
04/26/2015,28,22,30,59,75,157,228,268,303,347,407,404,270
05/03/2015,34,17,33,50,76,156,200,246,315,306,433,333,268
05/10/2015,37,11,35,54,76,146,220,246,265,290,423,347,270
05/17/2015,38,16,28,38,89,147,239,238,251,326,367,320,196
05/24/2015,28,19,24,49,75,159,233,218,255,307,365,317,225
05/31/2015,34,16,31,46,75,141,235,230,246,279,329,313,202
06/07/2015,46,6,27,40,86,162,219,276,301,324,383,333,231
06/14/2015,34,18,22,47,72,149,262,231,278,301,327,308,249
06/21/2015,39,19,30,47,61,127,199,204,214,255,344,296,232
06/28/2015,44,18,29,40,81,139,209,225,280,266,320,283,207
07/05/2015,36,18,21,41,92,154,210,244,292,333,382,313,247
07/12/2015,40,10,21,63,91,151,257,225,291,329,407,339,267
07/19/2015,48,23,29,47,89,158,249,208,260,276,386,346,239
07/26/2015,57,18,19,60,89,150,241,236,323,356,425,381,270
08/02/2015,32,19,25,37,72,129,194,224,218,248,326,287,209
08/09/2015,42,13,28,44,91,125,250,245,295,311,368,328,238
08/16/2015,33,21,39,43,105,155,249,304,314,343,436,413,292
08/23/2015,31,12,22,47,78,128,201,191,195,271,317,300,209
08/30/2015,32,23,26,59,69,142,212,218,246,307,349,337,262
09/06/2015,24,18,19,47,66,137,208,215,267,323,325,337,234
09/13/2015,34,14,26,58,82,165,211,235,232,251,358,293,233
09/20/2015,27,17,29,53,83,159,223,252,270,317,373,360,216
09/27/2015,33,18,27,41,79,126,228,222,261,276,345,280,211
10/04/2015,26,16,28,42,70,169,214,226,261,287,314,290,249
10/11/2015,29,21,22,47,76,140,217,231,271,342,378,316,242
10/18/2015,28,15,33,58,89,144,223,248,278,321,353,395,278
10/25/2015,36,15,26,55,84,149,230,233,307,309,395,371,227
11/01/2015,31,13,24,43,91,163,233,259,257,314,391,343,256
11/08/2015,38,14,28,44,78,166,250,245,274,332,395,330,231
11/15/2015,42,16,33,47,65,145,231,218,252,298,398,337,233
11/22/2015,28,11,21,39,84,141,226,250,275,310,401,375,279
11/29/2015,25,16,22,47,92,154,237,234,272,328,404,355,203
12/06/2015,30,15,31,47,77,162,242,252,259,311,365,366,228
12/13/2015,45,27,17,53,76,141,233,254,280,345,360,352,235
12/20/2015,36,23,31,60,82,165,243,244,262,300,368,354,238
12/27/2015,32,21,23,58,94,161,239,269,272,347,408,334,256
01/03/2016,17,13,32,48,80,166,285,252,280,358,395,342,251
01/10/2016,32,15,33,62,88,161,279,288,327,358,445,406,329
01/17/2016,24,13,29,63,85,151,255,277,316,347,402,397,281
01/24/2016,38,19,23,56,96,153,221,259,315,321,418,402,241
01/31/2016,21,12,38,54,75,152,229,271,286,339,428,422,288
02/07/2016,30,20,20,56,74,161,221,243,266,346,416,361,269
02/14/2016,38,14,33,59,88,146,261,297,299,341,408,371,285
02/21/2016,25,28,28,53,80,139,245,277,322,334,389,378,277
02/28/2016,48,16,24,55,82,153,235,249,263,347,371,369,279
03/06/2016,32,12,19,44,65,164,262,285,301,350,388,347,266
03/13/2016,26,19,41,48,78,145,238,287,263,353,384,363,251
03/20/2016,34,17,21,44,87,138,238,252,314,333,388,318,254
03/27/2016,33,13,19,53,82,151,240,245,263,346,420,371,245
04/03/2016,22,14,32,44,85,165,244,280,272,344,384,376,275
04/10/2016,32,17,24,42,89,149,235,245,305,333,364,365,256
04/17/2016,42,18,24,66,76,133,220,262,223,335,352,325,242
04/24/2016,27,11,31,49,63,142,216,247,259,337,359,348,260
05/01/2016,41,21,28,54,64,140,240,276,240,305,396,314,245
05/08/2016,26,16,29,44,71,124,217,267,268,291,344,322,260
05/15/2016,32,21,28,38,77,148,240,255,277,300,352,342,260
05/22/2016,34,12,35,45,82,159,229,253,281,330,352,324,245
05/29/2016,25,15,22,37,86,131,229,250,248,305,375,314,224
06/05/2016,38,15,23,38,68,139,230,268,275,293,346,325,227
06/12/2016,31,13,27,52,82,139,204,265,282,275,335,298,232
06/19/2016,35,19,24,36,80,125,214,221,226,286,340,309,236
06/26/2016,31,23,24,50,71,117,233,274,295,360,403,338,262
07/03/2016,35,17,27,56,74,143,229,285,222,312,339,326,238
07/10/2016,40,12,21,36,69,131,171,236,246,288,373,266,213
07/17/2016,37,16,28,49,73,144,229,245,266,314,348,298,229
07/24/2016,40,11,24,46,77,126,205,254,240,319,344,280,244
07/31/2016,30,14,22,47,78,136,243,239,276,297,341,329,225
08/07/2016,27,16,28,46,60,130,213,221,269,325,353,321,212
08/14/2016,37,12,25,46,70,127,226,209,270,263,333,303,199
08/21/2016,29,13,26,34,72,131,223,208,261,293,375,330,227
08/28/2016,17,19,17,50,64,141,230,221,273,316,362,317,214
09/04/2016,31,17,26,47,82,137,250,215,278,345,361,305,226
09/11/2016,30,15,25,43,80,113,246,223,260,321,304,338,248
09/18/2016,37,10,33,47,81,161,227,243,290,307,371,327,231
09/25/2016,37,16,29,41,71,138,215,235,246,289,373,325,248
10/02/2016,33,11,35,45,82,166,228,234,285,336,355,367,246
10/09/2016,35,23,31,49,75,122,245,290,262,347,358,352,258
10/16/2016,26,14,20,51,89,144,235,285,272,344,398,367,293
10/23/2016,28,20,20,45,68,139,251,260,287,340,392,373,270
10/30/2016,26,9,24,42,93,139,205,258,308,313,427,388,295
11/06/2016,16,18,25,46,81,155,237,271,265,328,390,353,273
11/13/2016,26,19,27,49,77,131,238,289,265,321,416,365,248
11/20/2016,33,11,28,58,59,152,251,252,306,334,356,376,267
11/27/2016,31,15,32,47,81,130,243,284,303,330,386,363,294
12/04/2016,22,13,32,46,77,151,246,282,313,333,422,366,237
12/11/2016,34,18,28,49,76,165,280,293,307,329,397,396,263
12/18/2016,33,8,22,44,88,146,260,266,308,324,423,368,295
12/25/2016,31,16,29,54,91,163,269,316,317,348,446,430,335
01/01/2017,23,18,35,51,83,133,249,320,347,378,433,467,360
01/08/2017,43,14,40,56,83,159,282,369,326,443,487,476,377
01/15/2017,17,21,40,58,115,158,320,344,369,442,542,519,366
01/22/2017,33,11,33,57,96,157,341,344,381,455,601,529,411
01/29/2017,44,20,39,66,93,189,355,344,404,482,563,546,429
02/05/2017,38,17,38,56,91,180,336,396,369,480,577,586,452
02/12/2017,30,13,31,69,88,165,286,344,338,451,536,495,410
02/19/2017,32,13,26,44,82,136,287,300,330,388,486,493,374
02/26/2017,40,10,22,51,83,171,282,317,315,409,432,416,342
03/05/2017,18,14,30,60,94,153,239,281,308,369,384,402,316
03/12/2017,32,15,22,47,86,131,235,293,285,382,438,379,326
03/19/2017,32,12,24,51,81,124,245,267,305,350,426,412,253
03/26/2017,34,19,27,50,92,121,223,277,305,365,412,386,273
04/02/2017,32,15,25,40,80,132,251,275,284,363,374,354,321
04/09/2017,38,17,29,42,59,123,241,278,300,319,354,380,242
04/16/2017,37,13,17,35,75,145,246,277,303,343,404,323,274
04/23/2017,28,13,11,51,87,145,254,260,264,339,411,394,270
04/30/2017,32,16,24,39,77,130,220,254,292,376,375,360,285
05/07/2017,39,20,31,44,71,124,224,285,304,342,370,345,280
05/14/2017,35,18,24,46,66,141,238,261,253,306,368,359,225
05/21/2017,31,19,24,45,70,121,220,262,268,337,377,314,235
05/28/2017,24,7,21,51,82,137,225,239,246,324,310,311,232
06/04/2017,35,16,22,55,68,118,229,249,313,350,348,341,238
06/11/2017,28,12,27,28,81,119,226,204,274,289,326,304,208
06/18/2017,27,25,22,59,77,102,198,232,247,307,323,312,214
06/25/2017,23,17,18,48,80,130,257,235,236,317,368,327,241
07/02/2017,41,9,20,39,56,97,192,229,233,312,373,328,207
07/09/2017,25,19,26,44,77,124,205,228,235,287,314,339,220
07/16/2017,28,18,27,52,69,112,247,237,282,294,386,336,200
07/23/2017,26,11,23,47,82,130,213,241,268,297,344,360,229
07/30/2017,28,24,25,53,58,125,210,259,273,299,323,275,188
